Date,Valeur Liquidative,Performances glissantes Depuis Début d'année,Performances glissantes 1 semaine,Performances glissantes 6 mois,Performances glissantes 1 an,Performances glissantes 2 ans,Performances glissantes 3 ans,Performances glissantes 5 ans,Variation %,weekly_mean,rendement_lag_1,rendement_lag_2,rendement_lag_3,rendement_lag_4,returns,garch_vol,garch_vol_lag_1,garch_vol_lag_2,vol_future_2w
2021-08-13,573.36,6.51,0.26,4.26,11.9,10.89,16.68,36.26,0.7451759482780762,12553.3325,0.24,0.11,0.09,0.33,0.0026,0.005976504970228156,0.006050068270117984,0.006033975080006067,0.0023505318547086314
2021-08-27,575.51,6.91,0.33,5.54,12.61,10.63,17.32,36.76,1.239395993056025,12708.918,0.26,0.24,0.11,0.09,0.0033,0.005936888820918787,0.005976504970228156,0.006050068270117984,0.0032649655434629013
2021-09-03,575.74,6.95,0.04,5.79,12.22,11.07,18.73,36.66,0.17693087641292848,12731.404,0.33,0.26,0.24,0.11,0.0004,0.005891315127920693,0.005936888820918787,0.005976504970228156,0.00426438741204408
2021-09-10,578.41,7.45,0.46,5.81,12.77,11.49,19.0,37.31,0.5422497000330706,12800.439999999999,0.04,0.33,0.26,0.24,0.0046,0.006048230584929214,0.005891315127920693,0.005936888820918787,0.0032015621187164245
2021-09-17,580.66,7.86,0.39,6.39,13.71,12.96,19.45,38.06,0.9436394373943502,12921.23,0.46,0.04,0.33,0.26,0.0039000000000000003,0.005903462654568607,0.006048230584929214,0.005891315127920693,0.001680773631397161
2021-09-24,581.97,8.11,0.23,6.73,14.43,13.32,19.47,38.4,0.7236772350619924,13014.738000000001,0.39,0.46,0.04,0.33,0.0023,0.005858929253087058,0.005903462654568607,0.006048230584929214,0.0020940391591371924
2021-10-01,581.62,8.04,0.06,6.26,13.8,13.45,19.37,37.32,1.0872904241330028,13156.246,0.23,0.39,0.46,0.04,0.0006,0.005905094504155276,0.005858929253087058,0.005903462654568607,0.004087175063537162
2021-10-08,583.33,8.36,0.29,6.46,13.36,13.69,19.83,36.73,-0.41510321409313766,13101.634,0.06,0.23,0.39,0.46,0.0029,0.0060372207575887515,0.005905094504155276,0.005858929253087058,0.0035923529893372116
2021-10-15,586.27,8.91,0.5,6.63,13.36,13.77,20.54,36.93,0.8697846390763209,13215.59,0.29,0.06,0.23,0.39,0.005,0.0059477980898361635,0.0060372207575887515,0.005905094504155276,0.003940812099047606
2021-10-22,586.78,9.0,0.09,6.56,13.12,13.74,20.86,35.73,0.6056483289811343,13295.63,0.5,0.29,0.06,0.23,0.0009,0.005858054417593459,0.0059477980898361635,0.0060372207575887515,0.004499444410146658
2021-10-29,590.02,9.6,0.55,6.54,14.39,14.29,22.06,35.82,1.6241877970430973,13511.576000000001,0.09,0.5,0.29,0.06,0.0055000000000000005,0.005995380095522322,0.005858054417593459,0.0059477980898361635,0.0024166091947189143
2021-11-05,588.14,9.25,0.32,5.55,13.08,13.77,21.26,35.35,0.003596915711390203,13512.062,0.55,0.09,0.5,0.29,0.0032,0.00587570607208502,0.005995380095522322,0.005858054417593459,0.001104536101718726
2021-11-12,587.42,9.12,0.12,4.81,12.71,13.27,21.1,34.19,-1.153384287313064,13356.216,0.32,0.55,0.09,0.5,0.0012,0.005870480542903058,0.00587570607208502,0.005995380095522322,0.002846928169097352
2021-11-19,587.98,9.22,0.1,4.97,11.9,12.47,21.48,33.57,-0.4406450150252206,13297.3625,0.12,0.32,0.55,0.09,0.001,0.005978190558982553,0.005870480542903058,0.00587570607208502,0.0031320919526731652
2021-11-26,585.68,8.8,0.39,4.36,11.7,11.82,20.24,33.32,0.0871263004223577,13308.948,0.1,0.12,0.32,0.55,0.0039000000000000003,0.006035174212836849,0.005978190558982553,0.005870480542903058,0.002886173937932362
2021-12-03,584.46,8.57,0.21,3.38,10.98,11.54,19.97,32.65,-1.1004175536638905,13162.494,0.39,0.1,0.12,0.32,0.0021,0.005912362832223451,0.006035174212836849,0.005978190558982553,0.0028160255680657444
2021-12-10,586.49,8.95,0.35,3.37,9.57,11.09,20.49,31.98,0.6735349698924864,13251.148000000001,0.21,0.39,0.1,0.12,0.0034999999999999996,0.005937323566908348,0.005912362832223451,0.006035174212836849,0.0016278820596099706
2021-12-17,585.38,8.74,0.19,3.01,8.2,9.88,20.13,30.03,0.23303641314698087,13282.028,0.35,0.21,0.39,0.1,0.0019,0.0058845205246569445,0.005937323566908348,0.005912362832223451,0.0029068883707497268
2021-12-24,584.61,8.6,0.13,2.79,8.6,9.56,20.24,26.22,-0.31671368257920607,13239.962,0.19,0.35,0.21,0.39,0.0013,0.005937887462329654,0.0058845205246569445,0.005937323566908348,0.0034365680554879164
2021-12-31,586.89,9.02,0.39,3.19,8.56,10.52,20.85,22.41,0.7107724327305442,13334.068,0.13,0.19,0.35,0.21,0.0039000000000000003,0.005997758728696372,0.005937887462329654,0.0058845205246569445,0.00588430114796991
2022-01-07,588.62,0.29,0.29,3.84,9.07,9.67,21.31,22.77,0.06160160575152673,13342.282000000001,0.39,0.13,0.19,0.35,0.0029,0.005897113458848511,0.005997758728696372,0.005937887462329654,0.005676706791793989
