Date,Fonds,Horizon minimum conseillé,Valeur Liquidative,Performances glissantes Depuis Début d'année,Performances glissantes 1 semaine,Performances glissantes 6 mois,Performances glissantes 1 an,Performances glissantes 2 ans,Performances glissantes 3 ans,Performances glissantes 5 ans
2025-04-25,ATTIJARI DIVERSIFIE,4,689.27,8.02%,0.34%,9.48%,15.76%,32.98%,18.96%,44.15%
2025-05-02,ATTIJARI DIVERSIFIE,4,694.75,8.88%,0.80%,10.14%,16.22%,34.52%,20.22%,43.45%
2025-05-09,ATTIJARI DIVERSIFIE,4,699.69,9.65%,0.71%,9.60%,16.70%,34.13%,22.34%,43.91%
2025-05-23,ATTIJARI DIVERSIFIE,4,706.81,10.77%,1.04%,10.23%,18.35%,33.82%,24.35%,43.94%
2025-05-30,ATTIJARI DIVERSIFIE,4,706.68,10.75%,0.02%,10.66%,18.27%,32.92%,23.29%,43.00%
2025-06-06,ATTIJARI DIVERSIFIE,4,716.33,12.26%,1.37%,12.47%,20.20%,35.19%,25.22%,43.41%
2025-06-13,ATTIJARI DIVERSIFIE,4,715.66,12.15%,0.09%,12.50%,20.23%,33.53%,27.07%,43.78%
2025-06-20,ATTIJARI DIVERSIFIE,4,707.86,10.93%,1.09%,10.85%,18.76%,30.27%,25.51%,39.86%
2025-06-30,ATTIJARI DIVERSIFIE,4,715.95,12.20%,1.14%,9.76%,18.18%,31.14%,28.12%,40.58%
2025-07-04,ATTIJARI DIVERSIFIE,4,723.12,13.32%,1.00%,10.86%,19.36%,32.26%,29.40%,41.99%
2025-07-11,ATTIJARI DIVERSIFIE,4,728.18,14.12%,0.70%,10.45%,19.23%,32.80%,29.79%,43.01%
2025-07-18,ATTIJARI DIVERSIFIE,4,732.48,14.79%,0.59%,10.75%,19.27%,32.45%,30.05%,43.44%
2025-07-25,ATTIJARI DIVERSIFIE,4,739.48,15.89%,0.96%,12.44%,20.03%,32.64%,31.58%,44.75%
2025-08-01,ATTIJARI DIVERSIFIE,4,743.94,16.59%,0.60%,11.51%,19.73%,32.70%,31.70%,45.68%
2025-08-08,ATTIJARI DIVERSIFIE,4,748.72,17.34%,0.64%,12.27%,21.18%,33.94%,31.45%,46.14%
2025-08-15,ATTIJARI DIVERSIFIE,4,747.17,17.09%,0.21%,11.44%,20.50%,33.79%,31.23%,45.83%
2025-08-22,ATTIJARI DIVERSIFIE,4,750.71,17.65%,0.47%,10.86%,20.67%,34.46%,32.13%,46.47%
2025-08-29,ATTIJARI DIVERSIFIE,4,753.24,18.04%,0.34%,11.52%,20.50%,34.90%,33.05%,47.39%
2025-09-08,ATTIJARI DIVERSIFIE,4,753.74,18.12%,0.07%,11.99%,20.41%,35.70%,33.02%,46.96%
2025-09-12,ATTIJARI DIVERSIFIE,4,748.92,17.37%,0.64%,11.28%,19.64%,34.83%,32.17%,46.02%
2025-09-19,ATTIJARI DIVERSIFIE,4,756.02,18.48%,0.95%,8.48%,19.68%,36.09%,33.42%,48.04%
2025-09-26,ATTIJARI DIVERSIFIE,4,743.56,16.53%,1.65%,6.20%,17.29%,33.62%,34.93%,46.20%
2025-10-03,ATTIJARI DIVERSIFIE,4,732.35,14.77%,1.51%,6.32%,16.56%,29.64%,32.50%,43.29%
2025-10-10,ATTIJARI DIVERSIFIE,4,726.28,13.82%,0.83%,9.13%,15.62%,28.92%,32.54%,41.13%
2025-10-17,ATTIJARI DIVERSIFIE,4,724.39,13.52%,0.26%,5.45%,15.23%,28.87%,33.97%,40.07%
2025-10-24,ATTIJARI DIVERSIFIE,4,741.03,16.13%,2.30%,7.51%,17.71%,32.87%,37.52%,42.85%
2025-10-31,ATTIJARI DIVERSIFIE,4,747.63,17.17%,0.89%,7.61%,18.52%,33.91%,39.30%,44.95%
2025-11-07,ATTIJARI DIVERSIFIE,4,740.59,16.06%,0.94%,5.85%,16.00%,32.80%,39.53%,42.39%
2025-11-14,ATTIJARI DIVERSIFIE,4,726.77,13.90%,1.87%,3.89%,13.26%,29.74%,35.37%,39.45%
2025-11-21,ATTIJARI DIVERSIFIE,4,715.36,12.11%,1.57%,1.21%,11.56%,27.49%,32.53%,36.14%
2025-11-28,ATTIJARI DIVERSIFIE,4,723.81,13.43%,1.18%,2.42%,13.34%,29.42%,33.47%,38.04%
2025-12-05,ATTIJARI DIVERSIFIE,4,720.56,12.92%,0.45%,0.59%,13.14%,28.26%,31.91%,36.83%
2025-12-12,ATTIJARI DIVERSIFIE,4,722.94,13.30%,0.33%,1.02%,13.64%,27.19%,33.33%,35.06%
2025-12-19,ATTIJARI DIVERSIFIE,4,731.87,14.70%,1.24%,3.39%,14.61%,28.32%,35.28%,35.28%
