Date,Variation %,weekly_mean
2021-01-08,0.0,11266.128
2021-01-15,0.5271287526646073,11325.515
2021-01-22,1.6152289763423644,11508.448
2021-01-29,1.3823062849134926,11667.53
2021-02-05,0.37006975769506845,11710.708
2021-02-12,-0.8271233472818107,11613.846000000001
2021-02-19,-0.6963584672984413,11532.972
2021-02-26,-1.4417619326570819,11366.694
2021-03-05,-0.12619324493119422,11352.35
2021-03-12,0.09763617224627374,11363.434
2021-03-19,1.0755375531727562,11485.652
2021-03-26,-0.30801908328755845,11450.274000000001
2021-04-02,0.6269718960437043,11522.064
2021-04-09,0.21442338803185912,11546.77
2021-04-16,0.7167891973253182,11629.536
2021-04-23,0.6081068066688067,11700.256
2021-04-30,0.6281401022336652,11773.75
2021-05-07,1.4846077078246145,11948.544
2021-05-21,1.6681697786776306,12147.866
2021-05-28,-0.2948007493661864,12112.054
2021-06-04,1.2413584021339297,12262.408
2021-06-11,1.0304990667412195,12388.772
2021-06-18,0.8163520968825555,12489.908
2021-06-25,0.03636535993700729,12494.45
2021-07-02,-0.5395515608930368,12427.036
2021-07-09,-1.4940972247927897,12241.364
2021-07-16,-0.4721532665804107,12183.566
2021-07-23,-0.08439784104807835,12173.283333333333
2021-08-06,2.359237510559331,12460.48
2021-08-13,0.7451759482780762,12553.3325
2021-08-27,1.239395993056025,12708.918
2021-09-03,0.17693087641292848,12731.404
2021-09-10,0.5422497000330706,12800.439999999999
2021-09-17,0.9436394373943502,12921.23
2021-09-24,0.7236772350619924,13014.738000000001
2021-10-01,1.0872904241330028,13156.246
2021-10-08,-0.41510321409313766,13101.634
2021-10-15,0.8697846390763209,13215.59
2021-10-22,0.6056483289811343,13295.63
2021-10-29,1.6241877970430973,13511.576000000001
2021-11-05,0.003596915711390203,13512.062
2021-11-12,-1.153384287313064,13356.216
2021-11-19,-0.4406450150252206,13297.3625
2021-11-26,0.0871263004223577,13308.948
2021-12-03,-1.1004175536638905,13162.494
2021-12-10,0.6735349698924864,13251.148000000001
2021-12-17,0.23303641314698087,13282.028
2021-12-24,-0.31671368257920607,13239.962
2021-12-31,0.7107724327305442,13334.068
2022-01-07,0.06160160575152673,13342.282000000001
2022-01-14,1.9130760390164037,13597.529999999999
2022-01-21,1.250653611354413,13767.588
2022-01-28,-0.18662673519863615,13741.894
2022-02-04,1.1721382802108549,13902.967999999999
2022-02-11,0.4519322780574653,13965.8
2022-02-18,-1.3622277277348882,13775.554
2022-02-25,-3.0009101630322776,13362.162
2022-03-04,-3.0790675940016277,12950.732
2022-03-11,-2.4848942901451454,12628.92
2022-03-18,1.2583340459833448,12787.833999999999
2022-03-25,-0.8001824233877186,12685.508
2022-04-01,0.5473016926086149,12754.936
2022-04-08,1.089272419712639,12893.872
2022-04-15,0.6046127959079994,12971.829999999998
2022-04-22,0.8666626065867433,13084.252
2022-04-29,0.3179088877224068,13125.847999999998
2022-05-06,-0.15489538910804512,13105.516666666668
2022-05-13,-3.0096689562029377,12711.083999999999
2022-05-20,-0.26641315563644685,12677.22
2022-05-27,-1.9864449776843762,12425.394
2022-06-03,0.11495812527151372,12439.678
2022-06-10,1.6601072793041682,12646.189999999999
2022-06-17,-2.8071854052485246,12291.188
2022-06-24,-1.9086356827346496,12056.594000000001
2022-07-01,-0.779125514220691,11962.658
2022-07-08,-2.482057081294131,11665.738000000001
2022-07-15,0.9522929453755768,11776.83
2022-07-22,1.2776952711383238,11927.302
2022-07-29,-0.9443711578695613,11814.664
2022-08-05,0.4263684519508981,11865.038
2022-08-12,1.4174585871532752,12033.22
2022-08-19,1.2124103107896245,12179.112
2022-08-26,-0.056884278591085025,12172.184
2022-09-02,-0.2996504160633684,12135.710000000001
2022-09-09,0.020616840712239792,12138.212
2022-09-16,0.11929269319073121,12152.692
2022-09-23,0.5993569161466317,12225.529999999999
2022-09-30,-2.9188264230671335,11868.688
2022-10-07,-1.7077709010465125,11665.998000000001
2022-10-14,-0.47576726826115134,11610.495
2022-10-21,-3.5092819040015266,11203.05
2022-10-28,-3.269716728926486,10836.742
2022-11-04,-0.06544402367427704,10829.65
2022-11-11,-2.329179613376242,10577.408
2022-11-25,2.2705751730480728,10817.576
2022-12-02,1.2242299014123104,10950.008
2022-12-09,2.771066468627237,11253.439999999999
2022-12-16,-0.203493331816762,11230.539999999999
2022-12-23,-2.341276554822813,10967.602
2022-12-30,-0.6319157095598715,10898.295999999998
2023-01-06,-5.417837797762126,10307.844000000001
2023-01-13,-2.3167453834186946,10069.0375
2023-01-20,2.5825556812158146,10329.076000000001
2023-01-27,-1.266579895433051,10198.25
2023-02-03,0.5787855759566751,10257.276000000002
2023-02-10,3.1135946814728976,10576.645999999999
2023-02-17,0.21937011033557052,10599.848000000002
2023-02-24,0.7369539638681477,10677.964
2023-03-03,1.2657656459602151,10813.122
2023-03-10,-2.05396739258098,10591.024
2023-03-17,-0.7587934839917265,10510.66
2023-03-24,-0.8692508367695195,10419.296
2023-03-31,0.5913259398715454,10480.908
2023-04-07,-0.12634401523224925,10467.666000000001
2023-04-14,0.1325988047383042,10481.545999999998
2023-04-21,-0.017211201477318472,10479.742
2023-04-28,0.0718815405951645,10487.275
2023-05-05,-0.7346283948880816,10410.2325
2023-05-12,1.1024489606740184,10525.0
2023-05-19,2.303847980997631,10767.48
2023-05-26,0.6846913112446229,10841.204000000002
2023-06-02,1.9289739405327744,11050.328
2023-06-09,-0.16842938960724974,11031.716
2023-06-16,1.764603077164062,11226.382000000001
2023-06-23,2.63832105481534,11522.57
2023-07-07,0.7101714287697902,11604.4
