Date,vol_future_2w_1,vol_future_2w_2,vol_future_2w_3,Performances glissantes 1 semaine,rendement_lag_1,garch_vol,Variation %,vol_future_2w
2021-01-08,,,,0.18,,0.0053207127303916,,0.0063941379403325
2021-01-15,0.0063941379403325,,,0.71,0.18,0.0058038216487142,0.5271287526646073,0.004181506905411
2021-01-22,0.004181506905411,0.0063941379403325,,0.56,0.71,0.0057273923302316,1.6152289763423644,0.0021095023109728
2021-01-29,0.0021095023109728,0.004181506905411,0.0063941379403325,0.19,0.56,0.0056695264827776,1.3823062849134926,0.0023
2021-02-12,0.0023,0.0021095023109728,0.004181506905411,0.23,0.19,0.005878407721725,-0.8271233472818329,0.0046097722286464
2021-02-19,0.0046097722286464,0.0023,0.0021095023109728,0.23,0.23,0.0058876046484695,-0.6963584672984302,0.0045392730695564
2021-02-26,0.0045392730695564,0.0046097722286464,0.0023,0.61,0.23,0.0058900327440277,-1.441761932657082,0.003482097069296
2021-03-05,0.003482097069296,0.0045392730695564,0.0046097722286464,0.2,0.61,0.0057175604795275,-0.1261932449311942,0.0033771289581536
2021-03-12,0.0033771289581536,0.003482097069296,0.0045392730695564,0.45,0.2,0.0058789658043662,0.0976361722462737,0.0012980754985747
2021-03-19,0.0012980754985747,0.0033771289581536,0.003482097069296,0.16,0.45,0.0057303140254219,1.0755375531727562,0.0027613402542968
2021-03-26,0.0027613402542968,0.0012980754985747,0.0033771289581536,0.09,0.16,0.0059308907119392,-0.3080190832875695,0.0027973201461398
2021-04-02,0.0027973201461398,0.0027613402542968,0.0012980754985747,0.38,0.09,0.0060782262457688,0.6269718960437265,0.0025268557536986
2021-04-09,0.0025268557536986,0.0027973201461398,0.0027613402542968,0.11,0.38,0.0058180384158202,0.2144233880318591,0.0026277366686941
2021-04-16,0.0026277366686941,0.0025268557536986,0.0027973201461398,0.34,0.11,0.006020514749353,0.7167891973253182,0.0041677331968349
2021-04-23,0.0041677331968349,0.0026277366686941,0.0025268557536986,0.15,0.34,0.0058281519429166,0.6081068066688067,0.0059033888572581
2021-04-30,0.0059033888572581,0.0041677331968349,0.0026277366686941,0.57,0.15,0.0059688721908595,0.6281401022336652,0.0043341665865538
2021-05-07,0.0043341665865538,0.0059033888572581,0.0041677331968349,0.61,0.57,0.0057351466431366,1.4846077078246145,0.0014089002803605
2021-05-21,0.0014089002803605,0.0043341665865538,0.0059033888572581,0.06,0.61,0.0056757954907171,1.6681697786776306,0.0054023143188822
2021-05-28,0.0054023143188822,0.0014089002803605,0.0043341665865538,0.19,0.06,0.006059084136795,-0.2948007493661864,0.0058189346103904
2021-06-04,0.0058189346103904,0.0054023143188822,0.0014089002803605,0.74,0.19,0.0059802282854078,1.2413584021339297,0.0027856776554368
2021-06-11,0.0027856776554368,0.0058189346103904,0.0054023143188822,0.36,0.74,0.0057913582087517,1.0304990667412195,0.0011335784048754
2021-06-18,0.0011335784048754,0.0027856776554368,0.0058189346103904,0.16,0.36,0.0057526786496045,0.8163520968825555,0.0023345235059857
2021-07-02,0.0023345235059857,0.0011335784048754,0.0027856776554368,0.01,0.16,0.0059366095706557,-0.5395515608930368,0.0024186773244895
2021-07-09,0.0024186773244895,0.0023345235059857,0.0011335784048754,0.33,0.01,0.0062052738220004,-1.4940972247927895,0.001004987562112
2021-07-16,0.001004987562112,0.0024186773244895,0.0023345235059857,0.09,0.33,0.0058863684574786,-0.4721532665804107,0.0018668154702594
2021-07-23,0.0018668154702594,0.001004987562112,0.0024186773244895,0.11,0.09,0.0060667777567652,-0.0843978410480783,0.0025019992006393
2021-08-06,0.0025019992006393,0.0018668154702594,0.001004987562112,0.24,0.11,0.0060850510077285,2.359237510559331,0.0029706901555025
2021-08-13,0.0029706901555025,0.0025019992006393,0.0018668154702594,0.26,0.24,0.0059324832363111,0.7451759482780762,0.0023505318547086
2021-08-27,0.0023505318547086,0.0029706901555025,0.0025019992006393,0.33,0.26,0.0058715798237989,1.239395993056025,0.0032649655434629
2021-09-03,0.0032649655434629,0.0023505318547086,0.0029706901555025,0.04,0.33,0.0057951982313511,0.1769308764129284,0.004264387412044
2021-09-10,0.004264387412044,0.0032649655434629,0.0023505318547086,0.46,0.04,0.0061204680725518,0.5422497000330928,0.0032015621187164
2021-09-17,0.0032015621187164,0.004264387412044,0.0032649655434629,0.39,0.46,0.0057933312651051,0.943639437394328,0.0016807736313971
2021-09-24,0.0016807736313971,0.0032015621187164,0.004264387412044,0.23,0.39,0.0057349491231023,0.7236772350619924,0.0020940391591371
2021-10-01,0.0020940391591371,0.0016807736313971,0.0032015621187164,0.06,0.23,0.0058500941080236,1.0872904241330028,0.0040871750635371
2021-10-08,0.0040871750635371,0.0020940391591371,0.0016807736313971,0.29,0.06,0.0061027378990598,-0.4151032140931376,0.0035923529893372
