Unnamed: 0.1,Unnamed: 0,filename,url,download_date,date
34.0,34.0,11-04-2025.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/14-04-2025/weekly_opcvm_11_04_2025.pdf,2025-12-19 18:42:58,2025-04-11
35.0,35.0,28-03-2025.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/02-04-2025/weekly_opcvm_28_03_2025.pdf,2025-12-19 18:43:01,2025-03-28
36.0,36.0,21-03-2025.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/25-03-2025/weekly_opcvm_21_03_2025.pdf,2025-12-19 18:43:06,2025-03-21
37.0,37.0,14-03-2025.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/17-03-2025/weekly_opcvm_14_03_2025.pdf,2025-12-19 18:43:03,2025-03-14
38.0,38.0,07-03-2025.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/10-03-2025/weekly_opcvm_07_03_2025.pdf,2025-12-19 18:43:05,2025-03-07
39.0,39.0,28-02-2025.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/03-03-2025/weekly_opcvm_28_02_2025.pdf,2025-12-19 18:43:04,2025-02-28
40.0,40.0,21-02-2025.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/24-02-2025/weekly_opcvm_21_02_2025.pdf,2025-12-19 18:43:11,2025-02-21
41.0,41.0,14-02-2025.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/18-02-2025/weekly_opcvm_14_02_2025.pdf,2025-12-19 18:43:16,2025-02-14
42.0,42.0,07-02-2025.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/10-02-2025/weekly_opcvm_07_02_2025.pdf,2025-12-19 18:43:16,2025-02-07
43.0,43.0,31-01-2025.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/03-02-2025/weekly_opcvm_31_01_2025.pdf,2025-12-19 18:43:12,2025-01-31
44.0,44.0,24-01-2025.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/29-01-2025/weekly_opcvm_24_01_2025.pdf,2025-12-19 18:43:18,2025-01-24
45.0,45.0,17-01-2025.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/21-01-2025/weekly_opcvm_17_01_2025.pdf,2025-12-19 18:43:13,2025-01-17
46.0,46.0,10-01-2025.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/13-01-2025/weekly_opcvm_10_01_2025.pdf,2025-12-19 18:43:15,2025-01-10
47.0,47.0,06-01-2025.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/06-01-2025/weekly_opcvm_06_01_2025.pdf,2025-12-19 18:43:19,2025-01-06
48.0,48.0,27-12-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/30-12-2024/weekly_opcvm_27_12_2024.pdf,2025-12-19 18:43:10,2024-12-27
49.0,49.0,20-12-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/30-12-2024/weekly_opcvm_20_12_2024.pdf,2025-12-19 18:43:08,2024-12-20
50.0,50.0,13-12-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/16-12-2024/weekly_opcvm_13_12_2024.pdf,2025-12-19 18:43:21,2024-12-13
51.0,51.0,06-12-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/09-12-2024/weekly_opcvm_06_12_2024.pdf,2025-12-19 18:43:24,2024-12-06
52.0,52.0,29-11-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/02-12-2024/weekly_opcvm_29_11_2024.pdf,2025-12-19 18:43:28,2024-11-29
53.0,53.0,22-11-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/25-11-2024/weekly_opcvm_22_11_2024.pdf,2025-12-19 18:43:27,2024-11-22
54.0,54.0,15-11-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/19-11-2024/weekly_opcvm_15_11_2024.pdf,2025-12-19 18:43:33,2024-11-15
55.0,55.0,08-11-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/11-11-2024/weekly_opcvm_08_11_2024.pdf,2025-12-19 18:43:23,2024-11-08
56.0,56.0,01-11-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/04-11-2024/weekly_opcvm_01_11_2024.pdf,2025-12-19 18:43:36,2024-11-01
57.0,57.0,25-10-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/04-11-2024/weekly_opcvm_25_10_2024.pdf,2025-12-19 18:43:25,2024-10-25
58.0,58.0,18-10-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/21-10-2024/weekly_opcvm_18_10_2024.pdf,2025-12-19 18:43:35,2024-10-18
59.0,59.0,11-10-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/14-10-2024/weekly_opcvm_11_10_2024.pdf,2025-12-19 18:43:31,2024-10-11
60.0,60.0,04-10-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/07-10-2024/weekly_opcvm_04_10_2024.pdf,2025-12-19 18:43:41,2024-10-04
